country,card_url,general,country_link,city,PM2.5,date,hour
United Arab Emirates,https://openaq.org/#/location/Abu%20Dhabi,US Diplomatic Post: Abu Dhabi,"Dhabi,",Abu,13,4/26/2020,1:00
United Kingdom,https://openaq.org/#/location/Aberdeen,Aberdeen,United,"Aberdeen,",10,4/26/2020,2:00
United Kingdom,https://openaq.org/#/location/Auchencorth%20Moss,Auchencorth Moss,United,"Auchencorth,",15,4/26/2020,2:00
United Kingdom,https://openaq.org/#/location/Barnstaple%20A39,Barnstaple A39,United,"Barnstaple,",23,4/26/2020,2:00
United Kingdom,https://openaq.org/#/location/Belfast%20Centre,Belfast Centre,United,"Belfast,",25,4/26/2020,2:00
United Kingdom,https://openaq.org/#/location/Birmingham%20Acocks%20Green,Birmingham Acocks Green,United,"Birmingham,",15,4/26/2020,2:00
United Kingdom,https://openaq.org/#/location/Birmingham%20Tyburn,Birmingham Tyburn,United,"Birmingham,",3,6/6/2017,18:00
United Kingdom,https://openaq.org/#/location/Birmingham%20Tyburn%20Roadside,Birmingham Tyburn Roadside,United,"Birmingham,",15,9/7/2016,17:00
United Kingdom,https://openaq.org/#/location/Blackpool%20Marton,Blackpool Marton,United,"Blackpool,",24,4/26/2020,2:00
United Kingdom,https://openaq.org/#/location/Bournemouth,Bournemouth,United,"Bournemouth,",21,4/26/2020,2:00
United Kingdom,https://openaq.org/#/location/Brighton%20Preston%20Park,Brighton Preston Park,United,"Brighton,",11,4/26/2020,2:00
United Kingdom,https://openaq.org/#/location/Bristol%20St%20Paul's,Bristol St Paul's,United,"Bristol,",20,4/26/2020,2:00
United Kingdom,https://openaq.org/#/location/Cardiff%20Centre,Cardiff Centre,United,"Cardiff,",21,4/26/2020,2:00
United Kingdom,https://openaq.org/#/location/Carlisle%20Roadside,Carlisle Roadside,United,"Carlisle,",22,4/26/2020,2:00
United Kingdom,https://openaq.org/#/location/Greenock%20A8%20Roadside,Greenock A8 Roadside,"Scotland,",Central,14,4/26/2020,2:00
United Kingdom,https://openaq.org/#/location/Chatham%20Roadside,Chatham Roadside,United,"Chatham,",12,4/26/2020,2:00
United States,https://openaq.org/#/location/Cle%20Elum_Mobile,Cle Elum_Mobile,United,"007,",7,1/3/2019,20:00
United States,https://openaq.org/#/location/Leavenworth_Mobile,Leavenworth_Mobile,United,"007,",10,11/9/2018,20:00
Uzbekistan,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Tashkent,US Diplomatic Post: Tashkent,Uzbekistan,"Tashkent,",21,4/25/2020,21:00
Viet Nam,https://openaq.org/#/location/SPARTAN%20-%20Vietnam%20Acad.%20Sci.,SPARTAN - Vietnam Acad. Sci.,Viet,"Hanoi,",36.9,8/21/2015,3:00
Viet Nam,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Hanoi,US Diplomatic Post: Hanoi,Viet,"Hanoi,",34,4/26/2020,0:00
Viet Nam,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Ho%20Chi%20Minh%20City,US Diplomatic Post: Ho Chi Minh City,Chi,Ho,44,4/26/2020,1:00
